name,links,intro,about
Palms,https://open.spotify.com/track/5pwZTS4pc7gtzZnHTHE8Gi,,
Eye Lines,https://open.spotify.com/track/6GvZXp8J5jdAEDPCtgLhXo,,
Still Talking,https://open.spotify.com/track/7C9ZlKDogL0zQ25TwWViSy,,
Slides,https://open.spotify.com/track/400hMoOzibNnyZAiAh3Maf,,
Climbing,https://open.spotify.com/track/0YvKyXZjaehodlLctEixZZ,,
Water Bodies,https://open.spotify.com/track/0GczvD2DgpkAAQf0H2o7wh,,
Fading Phase,https://open.spotify.com/track/2UHuiXspvfQhk6g4YYroBu,,
Searching,https://open.spotify.com/track/6Qlx3IwnqHIrGUmw8xO48z,,
The Ground,https://open.spotify.com/track/1lkoVDHVXhV9AgwKfqvrxZ,,
