name,links,intro,about
Shaving Cream LSD,https://open.spotify.com/track/4tQdkY2A6Rzssm2g7GJiBA?si=8d24829777cd4c19,,
Bull Frog's Croon: i. Night Fishing,https://open.spotify.com/track/2XB1w0miUTBeX7xtsFBDAa?si=50041742a0794f19,,
Contact High,https://open.spotify.com/track/4GchkCDHkWyjynwoenwWkE?si=bc4558139d174e81,,
Weak,https://open.spotify.com/track/79Ev5212K6LbkKF0VFnynC?si=b968b67e0e6e417f,,
Things I Imagined,https://open.spotify.com/track/7E1kPmbABZuovomQa7Rk54?si=a8cfd88fdd5d4eaa,,
Kensho !,https://open.spotify.com/track/4rlnfOwPn4bHyUOqwempKi?si=3d8bdfaed893472d,,
