name,links,intro,about
The Vanishing,https://open.spotify.com/track/3l0YeuQRWpnKv0uf4UWogT,,
Youth Organ,https://open.spotify.com/track/328w2Nrp3s4vmkbDXkH1nb,,
Sisters,https://open.spotify.com/track/77KoBfrnVbDBdyKYOP15C7,,
Born Last Summer,https://open.spotify.com/track/6plLNxI1tn6vU7TuP4cV4n,,
The Clocks In The Mansion,https://open.spotify.com/track/6I0ResTExzUuhrOVW6TCWl,,
A Mirror In the Mansion,https://open.spotify.com/track/0wE0pId6dZMgIYnDCEgzUR,,
No Ceiling In The Mansion,https://open.spotify.com/track/1VtvSjyYE34ZnkTFCEDLBl,,
