name,links,intro,about
Only One,https://open.spotify.com/track/1xNaeUuuqCinVJVqr1s0QT,,
My Way,https://open.spotify.com/track/37ZU8Zig5BSvWx3kqVJLP0,,
Anymore,https://open.spotify.com/track/3UjKpHbPuRj29BjdHlUNHW,,
Reach,https://open.spotify.com/track/46djmEmXmdBP2JVLtL4jlB,,
She'd,https://open.spotify.com/track/5RZXgasvWjoU0WNCIlbvMJ,,
Talk Alone,https://open.spotify.com/track/2eaBlLw2PzrC9AimlBvfdJ,,
Mind,https://open.spotify.com/track/6R3Pw9ZgU4bgITmQ1reSb5,,
See,https://open.spotify.com/track/4jpnfcOLLhtE4OqNXNkQU2,,
