name,links,intro,about
Beauty Ave.,https://open.spotify.com/track/7bUfxBMkAbQLfRcIZUDMr5,,
Lucked Up,https://open.spotify.com/track/3J7LhdalkNsNw9whXrjOJz,,
Namistake,https://open.spotify.com/track/67oU7KJkDhPlVBg50M0tP5,,
Czech-Mate,https://open.spotify.com/track/0IkBefYxiuUcUjqrGyjCVO,,
Photogiraffe,https://open.spotify.com/track/3dtWHoQLFYUFPYp8dYYaDh,,
Annie Koala,https://open.spotify.com/track/6d7JMm3eeMnZgWDnNpVXTA,,
Scorcher,https://open.spotify.com/track/5rbWoBF2sswdX9rdyLxvUE,,
(Holy Heliotrope),https://open.spotify.com/track/6nrli8i9uFzsp2c446et4d,,
Go Free or Wait to Decide,https://open.spotify.com/track/08aUwauSYjwB03Salab48x,,
