name,links,intro,about
Sustainer,https://open.spotify.com/track/5vxtqNeVpoHnI53mPcsi9w?si=8b8ddc20213e4c90,,
Fade,https://open.spotify.com/track/0yZ3dgS0I7SD3OQt6kXQhz?si=88f431b5b0e540c3,,
Huntress,https://open.spotify.com/track/4r48aoGfYdUe9kc7HNdzYG?si=afba1fd04e6c4467,,
Roden,https://open.spotify.com/track/7lEbz4q9XycmFktbDCdPqD?si=54228fedc22d4763,,
The Remains,https://open.spotify.com/track/1mZZ5R7DaFuPhfAwnHdzAH?si=adbe1ecc360742dc,,
Braid,https://open.spotify.com/track/6TFhPGIllnp7lhG933OVhM?si=dcf0b338f0854b9b,,
Within Me,https://open.spotify.com/track/6JMvjieGPRc8HmucXUtvKZ?si=bb3fdb0407da4c93,,
Parasail,https://open.spotify.com/track/0vN3FSX8Br2XaO76FbgGJe?si=64b1c8c7b7844eeb,,
Slide On Me,https://open.spotify.com/track/7uA7P43U6YVKpT8gejeqOY?si=5cce713f500e4d27,,
