name,links,intro,about
Crabapple,https://open.spotify.com/track/1TO2WX9BB0JKllRICTPBsk,,
Deadbeat Daydream,https://open.spotify.com/track/3gENSfoU0GexiId2Mz8xVo,,
Pretty Woman,https://open.spotify.com/track/0u5lKKcSt8adIZtf0PTR88,,
Hurricanes,https://open.spotify.com/track/2GvNnw21mIkBUG7wwUuLpf,,
Dummin' Down,https://open.spotify.com/track/0Q5yd5n2aNDYfD8UadTPH2,,
