name,links,intro,about
Owlet,https://open.spotify.com/track/5Y5iO4Ers8uMuCfqjwsT4l,,
Oleander,https://open.spotify.com/track/31i5XOOmjFgDd8jXuWvlZ4,,
Ichabod,https://open.spotify.com/track/6tBwg3N5EUX25nNtHCJVA9,,
Building Ampersand,https://open.spotify.com/track/5hmRBAk0yIcfPwCSCLtIhM,,
A Sliver Of Neon Orange,https://open.spotify.com/track/1KvZxBHlXlO6QwQIrpGtIK,,
Summer '96,https://open.spotify.com/track/1ya5VFnoV6fl2UA1gq7Ck2,,
Figure It Outwards,https://open.spotify.com/track/6aqF2A9lhkK3GJXmZAWIiE,,
